first_seen_date,last_seen_date,latest_source,company,role,link,location,remote_policy,employment_type,experience_band,compensation_hint,latest_fit_score,seen_count,pipeline_status,last_check_result,why_fit,notes
2026-06-24,2026-06-24,board_search,Acai Travel,Software Engineer (India),https://jobs.ashbyhq.com/acai/4c4a0fee-e46e-4327-9aa7-d866b8b1f476/application,"Pune / Remote, India",Remote or Pune,Full-time,2-4 years non-internship experience; strong stretch,15-22 LPA + equity,6,1,new,tracked,"Remote/Pune backend-oriented startup role with explicit compensation and strong Go/API alignment, but the stated experience bar is above your core target","Interesting because of backend fit, compensation clarity, and startup upside"
2026-06-26,2026-06-26,board_search,Visa,SW Engineer,https://visa.wd5.myworkdayjobs.com/Visa_Early_Careers/job/IN---Bengaluru-India/SW-Engineer_REF082891W,"Bengaluru, India",,Full-time,Early career / Workday early-careers listing,,8,1,new,tracked,Official Visa early-career software role in Bengaluru and cleaner level fit than most generic SWE postings,Official early-career listing surfaced on 2026-06-26 search
2026-06-26,2026-06-26,board_search,Red Hat,Trainee - Associate Software Engineer,https://redhat.wd5.myworkdayjobs.com/en-US/Jobs/job/Pune/Trainee---Associate-Software-Engineer_R-050060,"Pune, India",,Full-time,Trainee / associate,,8,1,new,tracked,Very strong title fit for a fresher and solid brand for platform and systems-oriented engineering growth,Official Red Hat trainee-associate listing
2026-06-26,2026-06-26,board_search,Red Hat,Software Engineering Trainee,https://redhat.wd5.myworkdayjobs.com/en-US/Jobs/job/Bangalore---Carina/Software-Engineering-Trainee_R-041280,"Bengaluru, India",,Full-time,Trainee,,8,1,new,tracked,Clean trainee framing in Bengaluru and one of the better pure entry-level titles from today's sweep,Official Red Hat trainee listing
2026-06-26,2026-06-26,board_search,Nexthink,Software Engineer,https://jobs.smartrecruiters.com/Nexthink/744000109643705-software-engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time,Experience not explicit on public page,,7,1,new,tracked,Bengaluru hybrid software role with product-platform exposure and a better fit than many generic senior-leaning SmartRecruiters postings,Diagnostics engineering team at Nexthink
2026-06-26,2026-06-26,board_search,QAD,Associate Fullstack Software Engineer,https://jobs.smartrecruiters.com/QADInc/744000111306820-associate-fullstack-software-engineer,Location not surfaced publicly,,Full-time,Associate-level Java fullstack,,7,1,new,tracked,Associate title and Java web-app stack make this a reasonable backup even though it leans more full-stack than backend,Public crawl surfaces role details but not a clean location snippet
2026-06-26,2026-06-26,board_search,Sutherland,Associate Engineer - Agentic AI Developer,https://jobs.smartrecruiters.com/Sutherland/744000126909282-associate-engineer-agentic-ai-developer,"Mumbai, India",,Full-time,Associate / experience not explicit,,8,1,new,tracked,"Strong overlap with your multi-agent and backend tooling experience, with Python and FastAPI called out directly","Public JD mentions multi-agent pipelines, RAG, OCR, and FastAPI services"
2026-06-26,2026-06-26,board_search,Renesas,"Associate Engineer, Validation",https://jobs.smartrecruiters.com/RenesasElectronics/744000129662584-associate-engineer-validation,"Hyderabad, India",On-site,Full-time,Associate / early career,,6,1,new,tracked,"Good systems-adjacent backup for an early-career engineer, though less aligned than backend API roles",Regular permanent role in Hyderabad
2026-06-26,2026-06-26,board_search,AliveCor,Software Engineer,https://jobs.jobvite.com/alivecor/job/oaTjAfwG,"Bangalore, India",Hybrid,Full-time,2-3 years relevant software engineering experience,,6,1,new,tracked,"Good company and stack quality, but the experience bar is slightly above your core target so this is a deliberate stretch","Role mentions Next.js, PostgreSQL, internal tools, and AI-assisted development"
2026-06-26,2026-06-26,board_search,Sarvam,"Backend Engineer, API Team",https://jobs.ashbyhq.com/sarvam/f46a00ea-a25b-478d-92b9-7a2deb129f5b/application,Location not surfaced publicly,,Full-time,Experience not explicit on public page,,7,1,new,tracked,"Strong backend and infra alignment because the role focuses on high-performance APIs serving ASR, TTS, LLM, and vision models",High-upside AI startup role; verify exact team expectations before submitting
2026-06-26,2026-06-26,board_search,Sarvam,"Backend Engineer, Chanakya",https://jobs.ashbyhq.com/sarvam/86ae80f8-b7eb-43a4-afde-fef58e77e23e,"Bengaluru, India",On-site,Full-time,Experience not explicit on public page,,6,1,new,tracked,"Interesting backend AI-platform option in Bengaluru, but title alone does not fully guarantee fresher-friendly scope",On-site Bengaluru role at Sarvam
2026-06-26,2026-06-26,board_search,Sarvam,Backend Engineer - Studio Media Platform,https://jobs.ashbyhq.com/sarvam/b07dfd8a-208d-43c1-a811-f1c447df26f9,Location not surfaced publicly,,Full-time,Experience not explicit on public page,,6,1,new,tracked,"Relevant backend systems work across dubbing, live translation, and shared media-platform services, but likely a bit more ownership-heavy than classic fresher roles",Interesting if you want AI infrastructure exposure
2026-06-26,2026-06-26,board_search,Drivetrain,Software Engineer (Data Engineering),https://jobs.lever.co/drivetrain/c677fe8d-8f9d-483e-b523-62c77e1a0fb7,India,Remote,Full-time,1-5+ years,,6,1,new,tracked,"Remote India role with strong software-engineering fundamentals and startup upside, but the bar leans above your core target","JD calls out large-scale data pipelines, DBT, and strong SQL"
2026-06-26,2026-06-26,board_search,Reo.Dev,Backend Engineer,https://jobs.ashbyhq.com/reo-dev/15b154c0-93f0-4627-b8c2-1ee3fe5e8a8c,Remote / TBD,Flexible / TBD,Full-time,Experience not specified on public page,,6,1,new,tracked,"Strong backend startup fit on APIs and microservices, but the public page leaves seniority and location underspecified",Promising startup lead; keep only if the detailed expectations stay realistic
2026-06-26,2026-07-15,official_recheck,Veeva,Associate Software Engineer - Test Automation,https://careers.veeva.com/job/d0704c83-8c0f-4545-8a40-eb48bcfec299/associate-software-engineer-test-automation-hyderabad-india/,"Hyderabad, India",,Full-time,1+ years,,7,2,new,live,"Associate title, Hyderabad location, and Java plus CI tooling make this a solid early-career backup even though it sits in test automation","Reverified live on 2026-07-15 via the official Veeva search result; still an early-career Hyderabad backup with Java and CI-test automation focus."
2026-06-26,2026-06-26,board_search,Veeva,Associate Software Engineer - Test Automation (Infra),https://careers.veeva.com/job/026b7ed5-d247-4b64-974f-b90d8940584b/associate-software-engineer-test-automation-infra-hyderabad-india/,"Hyderabad, India",,Full-time,Fresh graduate or recently started career; 1+ years accepted,,8,1,new,tracked,One of the better fits from today's sweep because the JD explicitly says fresh graduates or recently-started engineers are welcome,"Infra-flavored automation role with AWS, Kubernetes, and API automation exposure"
2026-06-27,2026-07-14,official_recheck,Altisource,Software Engineer,https://jobs.smartrecruiters.com/Altisource/744000127184759-software-engineer,"Bengaluru, KA, India",,Full-time,2-3 years; full-stack Java/Spring Boot + React,,5,2,new,live,"Official SmartRecruiters entry-level label keeps this on the board, but the current JD still asks for 2-3 years and widens into full-stack React work.","Reverified live on 2026-07-14 via SmartRecruiters API; active requisition now points to the newer 744000127184759 link and explicitly asks for 2-3 years plus Java/Spring Boot, React, REST APIs, and GenAI-tool exposure."
2026-06-27,2026-06-27,europe_pass,Cognite,Software Engineer,https://job-boards.greenhouse.io/cognite/jobs/4873458101,India (Bengaluru),Unspecified / likely on-site or hybrid,Full-time,Experience not explicit on official page; role reads mid-level,,4,1,new,tracked,"Strong backend and distributed-systems alignment at a Europe-based product company with an India R&D center, but not a clean fresher match",Official board currently marks the India Software Engineer opening as New
2026-06-27,2026-06-27,europe_pass,mthree,Graduate Recruitment - CP - Tech - 2026,https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4660233006,India,Program / client placement,Full-time,Freshers / graduates,,7,1,new,tracked,Closer to the low-cost early-career lane you want because it is built for graduates and feeds into client placements after training,Official page says 6-12 weeks of training followed by 12-24 months with a client
2026-07-03,2026-07-15,official_recheck,Netomi,SDE I - Backend,https://jobs.lever.co/netomi/d61510b5-44ea-44c9-8441-097a48bf5e77,"Remote, India",Remote,Full-time,1-3 years,,8,8,new,live,"Remote India backend role with Java/J2EE plus AWS and an explicit 1-3 year bar, making it one of the cleaner remote backend stretch options.",Reverified live on 2026-07-15 via the official Lever page; remote India backend opening remains active.
2026-07-09,2026-07-15,official_recheck,PlayPower Labs,Software Engineer,https://jobs.ashbyhq.com/playpowerlabs/6087e852-9d62-4103-aa77-c3773974549a,"Remote, India",Remote,Full-time,Fresher-friendly / entry-level,,8,6,new,live,"Strong general SWE fit because the official Ashby page still explicitly welcomes a high-energy fresher and leans on APIs, automation, AI tools, agents, and shipping.",Reverified live on 2026-07-15 via Ashby; remote India role still explicitly markets itself to a fresher who wants to ship real products.
2026-07-09,2026-07-09,company_seeded,Atidan Technologies,Trainee AI Engineer,https://atidantech.com/junior-power-bi-developer-2/,"Mumbai / Pune, India",On-site,Full-time,Fresher / 2026 graduates,,7,1,seen_only,live,"Fresh 2026 graduate role with overlap on AI/LLM, agents, RAG, microservices, and Python, which maps well to the candidate profile.",Official Atidan page is live on 2026-07-09; verify the stated 85% academic threshold and 5-day office requirement before moving it into the application pipeline.
2026-07-09,2026-07-09,board_search,Vivify Healthcare Pvt. Ltd.,Software Engineer - Trainee,https://jobs.smartrecruiters.com/VivifyHealthcarePvtLtd/744000062986529-software-engineer-trainee,"Visakhapatnam, Andhra Pradesh, India",On-site,Full-time,Trainee / internship-to-PPO path,Stipend during 6-month training; amount not surfaced,5,1,seen_only,live,"Official trainee software engineer opening with junior-friendly responsibilities around learning the codebase, bug fixing, and working under senior guidance.","Verified live on 2026-07-09; compensation is unspecified and the role begins with a 6-month training/stipend phase, so it stays out of the pipeline for now."
2026-07-09,2026-07-14,official_recheck,Netomi,SDE I (FullStack),https://jobs.lever.co/netomi/5dfe7149-e3e7-4063-be6f-440081b188b5,"Remote, India",Remote,Full-time,SDE I / experience not explicit on public snippet,,7,2,new,live,Remote India SDE I role at the same product company as the backend opening; a good general SWE fallback if full-stack scope is acceptable.,Reverified live on 2026-07-14 via Lever API; still active as a lower-priority general-SWE backup behind the backend role.
2026-07-10,2026-07-10,official_recheck,Paytm,Backend - Software Engineer,https://jobs.lever.co/paytm/0f4edaf0-4ad8-4b5b-a373-1ec65dcdb65b,"Bangalore, India",,Full-time,1+ years,,8,1,new,stale_or_unavailable,"Strong backend fit with Java, Spring Boot, Redis, Kafka, AWS, and high-scale payment systems at a known late-stage Indian product company.","Rechecked on 2026-07-12; the exact Paytm backend Lever URL is unavailable and the current Paytm Lever board no longer lists this role, so treat it as stale/closed unless reposted."
2026-07-10,2026-07-14,official_recheck,SymphonyAI,Associate Software Engineer (Java),https://jobs.symphonyai.com/jobs/2922?iis=LinkedIn&mode=apply,"Remote - Bengaluru, India",Remote,Full-time,1-2 years,,8,5,new,live,"Good backend-leaning Java fit with microservices, Spring Boot, REST APIs, and cloud deployment in a remote Bengaluru associate role.",Reverified live on 2026-07-14 via the official SymphonyAI page; remote Bengaluru associate Java role is still active.
2026-07-10,2026-07-10,company_page,Halliburton,Software Developer,https://jobs.halliburton.com/job/Bangalore-Associate-Technical-Professional-Software-Development-KA-560066/1325794800/,"Bengaluru, India",,Full-time,Entry level / 0-5 years,,7,1,new,live,Large-company software-development opening in Bengaluru with an entry-level framing and a direct official application path.,"Verified live on 2026-07-10; broader software-development scope than pure backend, but still within junior general-SWE range."
2026-07-10,2026-07-10,company_page,Capgemini,Associate Software Engineer,https://www.capgemini.com/jobs/166185-en_gb/associate-software-engineer/,"Pune, India",,Full-time,Associate / early career,,7,1,new,live,"Official Capgemini opening posted recently for an associate software engineer, giving a straightforward large-company early-career path.",Verified live on 2026-07-10; generic JD and Pune location make it a solid backup rather than a top backend lead.
2026-07-10,2026-07-14,official_recheck,Dover,Software Engineer - I,https://careers.dovercorporation.com/job/Bengaluru-Software-Engineer-I-KA/1378793533/,"Bengaluru, India",Hybrid,Full-time,1-3 years,,6,2,seen_only,live,"Real Software Engineer I opening in Bengaluru recovered from a social roundup into the official Dover careers page, but the support-heavy scope is less aligned with backend or platform work.",Reverified live on 2026-07-14 via the official Dover careers page; still better kept in discovery memory than the active pipeline.
2026-07-11,2026-07-13,official_recheck,Outmarket AI,AI Software Engineer,https://jobs.ashbyhq.com/outmarket/028f1164-19cf-4928-af55-e07f3b85fb90,Remote / US or India,Remote,Full-time,Experience bar not explicit on the current public page,,6,3,new,stale_or_unavailable,"The older AI-only title mapped well to the backend-plus-agents lane, but today's official board no longer shows this exact role.","Rechecked on 2026-07-13; the current Outmarket Ashby board now surfaces Software Engineer, Full Stack AI Engineer, and Front End AI Engineer instead of this older AI Software Engineer title."
2026-07-11,2026-07-11,board_search,Drivetrain,Backend Engineer,https://jobs.lever.co/drivetrain/e2aafad8-a785-4515-9e3f-2b4981b727b8/apply,India,Remote,Full-time,Public snippet reads above classic fresher scope,,6,1,seen_only,live,"Relevant backend systems role with Java, Spring, Redis, Elasticsearch, PostgreSQL, BigQuery, and AWS, but the ownership bar looks stronger than a clean 0-1 year fit.",Verified live on 2026-07-11; keep in discovery memory only unless later evidence shows a clearer junior bar.
2026-07-11,2026-07-11,board_search,Onehouse,Backend Engineer- Kubernetes Infrastructure (India),https://jobs.ashbyhq.com/onehouse/65e0f0e0-15de-465a-aedc-c8386413930c,"Bangalore or Hybrid, India",Hybrid,Full-time,3+ years,,5,1,seen_only,live,"Strong infrastructure alignment around Kubernetes, operators, Terraform, and observability, but the official Ashby snippet asks for 3+ years.",Verified live on 2026-07-11; interesting infra target but too senior for the active pipeline.
2026-07-11,2026-07-11,board_search,Onehouse,Backend Engineer - Distributed Systems (India),https://jobs.ashbyhq.com/onehouse/7ed90ebb-5a88-4f8d-930c-68df512c9b14,"Bangalore or Hybrid, India",Hybrid,Full-time,3+ years,,5,1,seen_only,live,"High-quality distributed-systems backend work with Go, Java or Python and cloud systems, but the official Ashby snippet still asks for 3+ years.","Verified live on 2026-07-11; worth remembering for later, not for the current fresher-focused pipeline."
2026-07-11,2026-07-11,board_search,Commure,"Software Engineer, EHR Platform & Data (India)",https://jobs.ashbyhq.com/commure/75d1f48c-1987-46c1-b1d0-f4f486a3575a,"Gurgaon, Haryana, India",On-site,Full-time,3+ years,,4,1,seen_only,live,"The data-platform and systems angle is relevant, but the Gurgaon role explicitly asks for 3+ years and is not fresher-friendly enough for the active pipeline.",Verified live on 2026-07-11; keep only as senior stretch memory.
2026-07-11,2026-07-11,board_search,Reacher,Backend Software Engineer,https://jobs.ashbyhq.com/reacher/86a866da-dc3b-4d5d-ba94-599b642904ec,India,,Full-time,2-6 years,,4,1,seen_only,live,"Relevant backend plus AI-agent overlap, but the official Ashby snippet asks for 2-6 years and senior ownership beyond the current fresher target.",Verified live on 2026-07-11; not pipeline-worthy unless the company opens a more junior variant.
2026-07-11,2026-07-11,board_search,Veda Tech Labs,Backend Engineer,https://jobs.ashbyhq.com/veda-tech-labs/74f2bc4f-73b5-4498-912d-dd4d98ee3f03/application,Remote,Remote,Full-time,3-5 years,,4,1,seen_only,live,"Python plus APIs plus AI-agent work matches the profile, but the official Ashby snippet asks for 3-5 years building backend systems.","Verified live on 2026-07-11; strong domain overlap, but the seniority bar is too high for the pipeline."
2026-07-12,2026-07-12,board_search,Stable Money,"Intern, Engineering",https://jobs.lever.co/stable-money1/2dba8a2d-abe7-4cbe-bce5-9f7ee7a6c31e,"Bengaluru, India",,Internship,Internship; projects or prior engineering-intern exposure preferred,,6,1,seen_only,live,"Relevant startup engineering internship with Java, Spring Boot, and product/backend exposure, but compensation is not surfaced.",Verified live on 2026-07-12 via Lever; keep out of the pipeline until compensation clears the INR 80k/month internship floor.
2026-07-12,2026-07-12,board_search,Drivetrain,Engineering Intern – Gen AI for FP&A Platform,https://jobs.lever.co/drivetrain/bc1c17bc-86ac-4f00-a1e3-0eb85aae4fdc,India,Remote,Internship,"Computer Science engineering intern; GenAI, RAG, and agentic-AI project work preferred",,6,1,seen_only,live,"Strong overlap with agentic AI, RAG, enterprise automation, and backend prototyping, but it is still an internship with compensation not surfaced.",Verified live on 2026-07-12 via Lever; keep in discovery memory only until compensation and timing justify the internship filter.
2026-07-12,2026-07-12,board_search,Sardine,Software Backend Engineer,https://jobs.ashbyhq.com/sardine/122f0715-0d0a-42b3-94f5-0a59d4169d69,India,Remote,Full-time,7+ years,INR 30-50 LPA + equity,2,1,seen_only,live,"Remote India backend role with strong API and systems overlap, but the official page explicitly asks for 7+ years, which is far outside the active fresher target.",Verified live on 2026-07-12 via Ashby; keep only as future-memory because the seniority bar is far too high for the current pipeline.
2026-07-13,2026-07-15,official_recheck,Outmarket AI,Software Engineer,https://jobs.ashbyhq.com/outmarket/10a2487a-1594-4400-8404-9ad2e96eb253/application,Remote / US or India,Remote,Full-time,Experience not explicit on public page,,8,3,new,live,"Broader remote software-engineer opening with AI-product, backend-service, and data-pipeline exposure at the same company, making it a stronger general-SWE fit than the older AI-only title.",Reverified live on 2026-07-15 via Ashby; this remains the current broader replacement for the older Outmarket AI Software Engineer listing.
2026-07-13,2026-07-15,official_recheck,Netomi,Devops Engineer - I,https://jobs.lever.co/netomi/78ceaf47-c13a-4735-a2c6-d7301af7f3fc/apply,"Gurugram, India",Remote,Full-time,Experience not explicit on public page; junior-to-mid platform/infrastructure signals,,7,3,new,live,"Relevant platform/infrastructure stretch because the role sits at the same company as the live SDE I openings and focuses on Kubernetes, AWS, Jenkins, and Linux operations in a Devops Engineer I title.",Reverified live on 2026-07-15 via the official Lever page; good infra/platform stretch if the Gurugram plus remote setup works.
2026-07-13,2026-07-13,board_search,Soulside AI,Backend Engineer (India/Remote),https://jobs.ashbyhq.com/Soulside%20AI/041401b5-bd04-4c78-aff4-4b713c3627ae,India,Remote,Full-time,Experience not explicit on public page,,6,1,seen_only,live,"Clean remote backend title in India at an AI startup, but the official page does not clearly state a fresher-friendly experience bar.",Verified live on 2026-07-13 via Ashby; keep in discovery memory until seniority expectations are clearer.
2026-07-13,2026-07-13,board_search,Aptiv,Associate Software Engineer,https://aptiv.wd5.myworkdayjobs.com/en-US/APTIV_CAREERS/job/Bangalore-India/Associate-Software-Engineer_J000687601,"Bangalore, India",,Full-time,Associate / experience not explicit on public page,,6,1,seen_only,live,"Associate title in Bengaluru keeps this inside junior general-SWE territory, though the public Workday result is thin on stack and team detail.",Verified live on 2026-07-13 via official Workday URL; keep as a backup rather than a top-priority pipeline lead.
2026-07-14,2026-07-15,official_recheck,Netomi,Agentic Engineer,https://jobs.lever.co/netomi/ba379f47-091b-4f2d-82d3-e97a0821227e,Remote - India,Remote,Full-time,Experience not explicit on public page; software-engineering fundamentals plus prompt engineering and API-driven automation,,8,2,new,live,"Strong general-SWE plus agentic-systems fit because the official Lever page focuses on software engineering fundamentals, prompt engineering, and API-driven automation in a remote India role.",Reverified live on 2026-07-15 via the official Lever page; still one of the clearer remote India roles for the backend-plus-agents lane.
2026-07-15,2026-07-15,board_search,NielsenIQ,Associate Software Engineer,https://jobs.smartrecruiters.com/NielsenIQ/744000127188924-associate-software-engineer,"Mount Poonamallee Road, Chennai, Tamil Nadu, India",Hybrid,Full-time,1-2 years or relevant hands-on DevOps/cloud exposure,,7,1,new,live,"Junior DevOps-oriented opening disguised under an associate software engineer title, with Kubernetes, Terraform, CI/CD, and cloud tooling that make it a relevant platform/infra early-career lead.","Verified live on 2026-07-15 via the official SmartRecruiters page; the public page title is Associate Software Engineer but the JD itself is for a Jr DevOps Engineer in Chennai with flexible work and 3 days in office."
2026-07-14,2026-07-14,board_search,Zomato,Software Engineer – Back End,https://jobs.smartrecruiters.com/Zomato1/104244178-software-engineer-back-end,"Gurugram, HR, India",On-site,Full-time,"Entry-level label on SmartRecruiters, but JD asks for prior consumer-web service experience",,3,1,seen_only,live_but_old,"Large-name backend role with real distributed-systems keywords, but the JD is old and asks for prior consumer-facing production experience well above a clean fresher fit.","Verified live on 2026-07-14 via SmartRecruiters API; posting is still public but its released date is 2016-12-20, so treat it as an old evergreen/stale listing rather than an active fresher target."
